"deal_id","co_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"136373-68T","435036-34","59 Bed Inpatient Rehabilitation Facility (General Hospital / Kindred Healthcare)","Tampa, FL",Tampa,FL,'{}',2020-05-07,2020.0,1,,,Joint Venture,,,,,2,"'{""10389-88"",""435043-18""}'","'{""Kindred Healthcare"",""Tampa General Hospital""}'","'{""10389-88-Russell Bailey"",""435043-18-John Couris""}'","'{""Russell Bailey"",""John Couris""}'",'{}','{}'
"97036-75T","91540-63","598 Studios","New York, NY",NewYork,NY,"'{""Mobile"",""SaaS"",""TMT""}'",2016-08-01,2016.0,2,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"57891-25T","91540-63","598 Studios","New York, NY",NewYork,NY,"'{""Mobile"",""SaaS"",""TMT""}'",2014-03-01,2014.0,1,,,Accelerator/Incubator,,,0.03,,1,"'{""56617-84""}'","'{""NXTP Ventures""}'","'{""56617-84-None""}'",'{}','{}','{}'
"157535-11T","439563-43","5:01 Acquisition (NAS: FVAM)","San Francisco, CA",SanFrancisco,CA,'{}',2020-10-14,2020.0,2,,,PIPE,,,3.6,,,'{}','{}','{}','{}','{}','{}'
"148425-67T","377295-58","5a Floral","Latham, NY",Latham,NY,'{}',2020-04-27,2020.0,1,,,Debt - PPP,,,0.57,,,'{}','{}','{}','{}','{}','{}'
"164782-18T","439700-14","5AAB Transport","Columbus, OH",Columbus,OH,'{}',2017-02-23,2017.0,1,,,Debt - General,,,0.27,,,'{}','{}','{}','{}','{}','{}'
"131136-22T","156217-96","5AM Provisions","San Ramon, CA",SanRamon,CA,"'{""LOHAS & Wellness""}'",2019-06-01,2019.0,2,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"68322-88T","156217-96","5AM Provisions","San Ramon, CA",SanRamon,CA,"'{""LOHAS & Wellness""}'",2015-09-01,2015.0,1,,,Product Crowdfunding,,,0.01,,,'{}','{}','{}','{}','{}','{}'
"161077-42T","439673-68","5B Boat & RV","Carey, ID",Carey,ID,'{}',2017-05-05,2017.0,1,,,Debt - General,,,0.34,,,'{}','{}','{}','{}','{}','{}'
"137686-24T","42228-01","5Barz International","Reno, NV",Reno,NV,'{}',,,1,,,IPO,,,,,,'{}','{}','{}','{}','{}','{}'
"137686-51T","42228-01","5Barz International","Reno, NV",Reno,NV,'{}',2020-04-30,2020.0,3,,,Bankruptcy: Admin/Reorg,,,,,,'{}','{}','{}','{}','{}','{}'
"51668-02T","42228-01","5Barz International","Reno, NV",Reno,NV,'{}',2012-10-01,2012.0,2,,,Convertible Debt,,,2.5,,,'{}','{}','{}','{}','{}','{}'
"145916-29T","305514-01","5c capital management. llc","Woodcliff Lake, NJ",WoodcliffLake,NJ,'{}',2020-04-15,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"142830-91T","278106-22","5church Restaurant","Charleston, SC",Charleston,SC,'{}',2020-04-27,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"87084-46T","180443-35","5D Analytics","Bedford, IN",Bedford,IN,"'{""Big Data"",""CloudTech & DevOps"",""Industrials"",""TMT""}'",,,3,,,Corporate,,,,,1,"'{""133854-40""}'","'{""Naval Surface Warfare Center Dahlgren Division""}'","'{""133854-40-None""}'",'{}','{}','{}'
"87084-73T","180443-35","5D Analytics","Bedford, IN",Bedford,IN,"'{""Big Data"",""CloudTech & DevOps"",""Industrials"",""TMT""}'",2015-01-01,2015.0,1,,,Accelerator/Incubator,,,,,1,"'{""56345-86""}'","'{""Purdue Research Foundation""}'","'{""56345-86-None""}'",'{}','{}','{}'
"160362-28T","180443-35","5D Analytics","Bedford, IN",Bedford,IN,"'{""Big Data"",""CloudTech & DevOps"",""Industrials"",""TMT""}'",2020-11-19,2020.0,4,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"87084-01T","180443-35","5D Analytics","Bedford, IN",Bedford,IN,"'{""Big Data"",""CloudTech & DevOps"",""Industrials"",""TMT""}'",,,2,,,Accelerator/Incubator,,,,,1,"'{""180444-34""}'","'{""StoneGate Arts & Education Center""}'","'{""180444-34-None""}'",'{}','{}','{}'
"65616-49T","81713-08","5D Robotics","Carlsbad, CA",Carlsbad,CA,"'{""Artificial Intelligence & Machine Learning"",""Autonomous cars"",""Mobility Tech"",""Robotics and Drones"",""TMT""}'",2014-01-01,2014.0,2,,,Grant,,,0.15,,2,"'{""10190-17"",""120649-24""}'","'{""Ranch Capital"",""United States Department of Defense""}'","'{""10190-17-Lawrence Hershfield"",""120649-24-None""}'","'{""Lawrence Hershfield"",}'",'{}','{}'
"65616-76T","81713-08","5D Robotics","Carlsbad, CA",Carlsbad,CA,"'{""Artificial Intelligence & Machine Learning"",""Autonomous cars"",""Mobility Tech"",""Robotics and Drones"",""TMT""}'",2016-02-02,2016.0,5,,"1st Round",Seed Round,,,5.5,,,'{}','{}','{}','{}','{}','{}'
"85944-61T","81713-08","5D Robotics","Carlsbad, CA",Carlsbad,CA,"'{""Artificial Intelligence & Machine Learning"",""Autonomous cars"",""Mobility Tech"",""Robotics and Drones"",""TMT""}'",2015-06-30,2015.0,4,,,Convertible Debt,,,13.3,,,'{}','{}','{}','{}','{}','{}'
"87385-33T","81713-08","5D Robotics","Carlsbad, CA",Carlsbad,CA,"'{""Artificial Intelligence & Machine Learning"",""Autonomous cars"",""Mobility Tech"",""Robotics and Drones"",""TMT""}'",2014-07-11,2014.0,3,,,Convertible Debt,,,1.45,,,'{}','{}','{}','{}','{}','{}'
"65616-13T","81713-08","5D Robotics","Carlsbad, CA",Carlsbad,CA,"'{""Artificial Intelligence & Machine Learning"",""Autonomous cars"",""Mobility Tech"",""Robotics and Drones"",""TMT""}'",2012-01-01,2012.0,1,,,Grant,,,0.9,,1,"'{""120649-24""}'","'{""United States Department of Defense""}'","'{""120649-24-None""}'",'{}','{}','{}'
"149295-97T","262267-30","5Dcollision","Champaign, IL",Champaign,IL,'{}',2020-04-27,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"22217-68T","55009-18","5Degrees","Chicago, IL",Chicago,IL,"'{""Marketing Tech"",""Mobile"",""TMT""}'",2011-01-01,2011.0,1,,"1st Round",Seed Round,,,0.15,,,'{}','{}','{}','{}','{}','{}'
"22132-18T","55009-18","5Degrees","Chicago, IL",Chicago,IL,"'{""Marketing Tech"",""Mobile"",""TMT""}'",2012-03-05,2012.0,2,,,Accelerator/Incubator,,,,,1,"'{""54897-67""}'","'{""Catapult Chicago""}'","'{""54897-67-None""}'",'{}','{}','{}'
"169212-43T","433373-86","5Five","Portland, OR",Portland,OR,'{}',2021-03-24,2021.0,2,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"133980-94T","433373-86","5Five","Portland, OR",Portland,OR,'{}',2019-11-26,2019.0,1,,"1st Round",Early Stage VC,,,0.23,,2,"'{""264981-52"",""112505-77""}'","'{""Family Angel Management Fund"",""Keeler Investments Group""}'","'{""264981-52-None"",""112505-77-None""}'","'{,}'",'{}','{}'
"178274-89T","471235-51","5G","Rockwall, TX",Rockwall,TX,"'{""Real Estate Technology""}'",2020-12-07,2020.0,1,,"1st Round",Early Stage VC,,,20.0,,1,"'{""483395-14""}'","'{""Intertidal Holdings""}'","'{""483395-14-Curtis Schade""}'","'{""Curtis Schade""}'",'{}','{}'
"56035-99T","122577-40","5G Dispensing Systems","Fairfax, VA",Fairfax,VA,'{}',2015-08-21,2015.0,1,,Angel,Angel (individual),,,7.58,,,'{}','{}','{}','{}','{}','{}'
"154928-26T","373770-01","5J Oilfield Services","Palestine, TX",Palestine,TX,"'{""Oil & Gas""}'",2020-04-15,2020.0,3,,,Debt - PPP,,,3.15,,,'{}','{}','{}','{}','{}','{}'
"54548-56T","82029-97","5k Fans","Los Angeles, CA",LosAngeles,CA,"'{""HR Tech"",""TMT""}'",2011-03-31,2011.0,2,,,Convertible Debt,,,0.5,,,'{}','{}','{}','{}','{}','{}'
"54548-29T","82029-97","5k Fans","Los Angeles, CA",LosAngeles,CA,"'{""HR Tech"",""TMT""}'",2009-06-22,2009.0,1,,Angel,Angel (individual),,,8.0,,,'{}','{}','{}','{}','{}','{}'
"38898-46T","54902-35","5LINX Enterprises","Rochester, NY",Rochester,NY,'{}',2007-01-01,2007.0,2,,"2nd Round",Early Stage VC,,,0.6,,2,"'{""10894-78"",""11320-30""}'","'{""New York State Common Retirement Fund"",""Trillium Group""}'","'{""10894-78-None"",""11320-30-None""}'","'{,}'","'{""11302-21F""}'","'{""Trillium Lakefront Partners III""}'"
"38898-91T","54902-35","5LINX Enterprises","Rochester, NY",Rochester,NY,'{}',2009-01-01,2009.0,3,,"3rd Round",Later Stage VC,,,0.1,,2,"'{""10894-78"",""11320-30""}'","'{""New York State Common Retirement Fund"",""Trillium Group""}'","'{""10894-78-None"",""11320-30-None""}'","'{,}'","'{""11302-21F""}'","'{""Trillium Lakefront Partners III""}'"
"38899-36T","54902-35","5LINX Enterprises","Rochester, NY",Rochester,NY,'{}',2014-01-01,2014.0,4,,,Investor Buyout by Management,,,,,,'{}','{}','{}','{}','{}','{}'
"154068-04T","54902-35","5LINX Enterprises","Rochester, NY",Rochester,NY,'{}',2020-04-13,2020.0,5,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"22010-23T","54902-35","5LINX Enterprises","Rochester, NY",Rochester,NY,'{}',2006-06-01,2006.0,1,,"1st Round",Early Stage VC,,,1.0,,2,"'{""10894-78"",""11320-30""}'","'{""New York State Common Retirement Fund"",""Trillium Group""}'","'{""10894-78-None"",""11320-30-None""}'","'{,}'","'{""11302-21F""}'","'{""Trillium Lakefront Partners III""}'"
"149295-61T","262126-27","5metacom","Indianapolis, IN",Indianapolis,IN,'{}',2020-05-01,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"181807-75T","482084-65","5Metis","Durham, NC",Durham,NC,"'{""AgTech""}'",2021-10-08,2021.0,2,,,Accelerator/Incubator,,,0.01,,1,"'{""91003-15""}'","'{""F3 Tech Business Accelerator""}'","'{""91003-15-Chris Hlubb""}'","'{""Chris Hlubb""}'",'{}','{}'
"19079-38T","52719-94","5min Media","New York, NY",NewYork,NY,"'{""TMT""}'",2007-12-21,2007.0,2,Series A,"2nd Round",Early Stage VC,,,5.0,,1,"'{""11303-02""}'","'{""Spark Capital""}'","'{""11303-02-Alex Finkelstein""}'","'{""Alex Finkelstein""}'","'{""11278-27F""}'","'{""Spark Capital""}'"
"19079-47T","52719-94","5min Media","New York, NY",NewYork,NY,"'{""TMT""}'",2009-07-16,2009.0,3,Series B,"3rd Round",Early Stage VC,,,7.5,,3,"'{""11223-37"",""54898-93"",""11303-02""}'","'{""Globespan Capital Partners"",""Kaedan Capital"",""Spark Capital""}'","'{""11223-37-Jonathan Seelig"",""54898-93-None"",""11303-02-Alex Finkelstein""}'","'{""Jonathan Seelig"",,""Alex Finkelstein""}'","'{""10957-42F"",""11278-27F""}'","'{""Globespan Capital Partners IV"",""Spark Capital""}'"
"19079-29T","52719-94","5min Media","New York, NY",NewYork,NY,"'{""TMT""}'",2007-04-16,2007.0,1,,"1st Round",Seed Round,,,0.3,,4,"'{""432565-75"",""432565-57"",""432565-84"",""432565-66""}'","'{""Grey Interactive"",""Nehama Karpol"",""Oded Katash"",""Ofer Lazovski""}'","'{""432565-75-None"",""432565-57-Nehama Karpol"",""432565-84-Oded Katash"",""432565-66-Ofer Lazovski""}'","'{,""Nehama Karpol"",""Oded Katash"",""Ofer Lazovski""}'",'{}','{}'
"50875-66T","93904-03","5N Plus Semiconductors","Saint George, UT",SaintGeorge,UT,"'{""Manufacturing"",""TMT""}'",2007-12-01,2007.0,1,,,PE Growth/Expansion,,,,,1,"'{""112501-81""}'","'{""Crescendo Capital Partners""}'","'{""112501-81-None""}'",'{}','{}','{}'
"38490-31T","93904-03","5N Plus Semiconductors","Saint George, UT",SaintGeorge,UT,"'{""Manufacturing"",""TMT""}'",2010-06-21,2010.0,2,,,Debt - General,,,3.0,,,'{}','{}','{}','{}','{}','{}'
"127806-49T","99631-99","5nine Software","West Palm Beach, FL",WestPalmBeach,FL,"'{""Cybersecurity""}'",2013-01-01,2013.0,1,,"1st Round",Early Stage VC,,,,,2,"'{""10134-73"",""11248-93""}'","'{""Bessemer Venture Partners"",""Greenspring Associates""}'","'{""10134-73-None"",""11248-93-None""}'","'{,}'","'{""11579-32F""}'","'{""Bessemer Venture Partners VII""}'"
"39574-99T","99631-99","5nine Software","West Palm Beach, FL",WestPalmBeach,FL,"'{""Cybersecurity""}'",2014-11-19,2014.0,2,,"2nd Round",Early Stage VC,,,,,3,"'{""151387-39"",""10331-11"",""151386-67""}'","'{""Andrei Baronov"",""Insight Partners"",""Ratmir Timashev""}'","'{""151387-39-Andrei Baronov"",""10331-11-Michael Triplett"",""151386-67-Ratmir Timashev""}'","'{""Andrei Baronov"",""Michael Triplett"",""Ratmir Timashev""}'","'{""14564-89F""}'","'{""Insight Venture Partners Coinvestment Fund III""}'"
"56303-29T","82030-15","5o9","Boulder, CO",Boulder,CO,"'{""Mobile"",""SaaS"",""TMT""}'",2013-05-10,2013.0,1,,"1st Round",Seed Round,,,0.05,,,'{}','{}','{}','{}','{}','{}'
"57085-93T","123295-78","5oclockrecords","New York, NY",NewYork,NY,"'{""HealthTech"",""TMT""}'",,,2,,,Bankruptcy: Liquidation,,,,,,'{}','{}','{}','{}','{}','{}'
"57083-68T","123295-78","5oclockrecords","New York, NY",NewYork,NY,"'{""HealthTech"",""TMT""}'",2012-12-01,2012.0,1,,Angel,Angel (individual),,,,,3,"'{""106009-48"",""111548-89"",""111549-16""}'","'{""Dave Lerner"",""Joe Farris"",""Mark Bard""}'","'{""106009-48-Dave Lerner"",""111548-89-Joe Farris"",""111549-16-Mark Bard""}'","'{""Dave Lerner"",""Joe Farris"",""Mark Bard""}'",'{}','{}'
