"deal_id","co_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"168746-95T","233529-67","Wave Electronics","Houston, TX","Houston","TX","{}","2021-03-18",2021,3,,,"Buyout/LBO",,,,100,1,"{51524-02}","{""Altamont Capital Partners""}","{""51524-02-Randall Eason""}","{""Randall Eason""}","{15812-02F}","{""ACP Investment Fund III""}"
"112533-49T","233529-67","Wave Electronics","Houston, TX","Houston","TX","{}","2018-10-03",2018,1,,,"Buyout/LBO",,,,100,2,"{121865-41,97905-61}","{AVAD,""Kingswood Capital Management""}","{""121865-41-Tom Jacoby"",""97905-61-Alexander Wolf""}","{""Tom Jacoby"",""Alexander Wolf""}","{16744-51F}","{""Kingswood Capital Opportunities Fund I""}"
"134581-42T","354048-13","Wave Imaging Solutions","Mentor, OH","Mentor","OH","{}","2020-03-10",2020,1,,,"Merger/Acquisition",,,,100,,"{}","{}","{}","{}","{}","{}"
"39153-97T","99208-81","Wave Imaging Technology","Houston, TX","Houston","TX","{""Oil & Gas"",TMT}","2013-10-14",2013,2,,,"Merger/Acquisition",,,,100,1,"{99233-47}","{GeoCenter}","{99233-47-None}","{NULL}","{}","{}"
"72454-42T","162143-92","Wave Marine & Yacht Services","Sarasota, FL","Sarasota","FL","{}","2016-06-29",2016,1,,,"Merger/Acquisition",,,,100,1,"{42088-69}","{""Kali (PINX: KALY)""}","{42088-69-None}","{NULL}","{}","{}"
"67259-89T","148944-70","Wave Securities","Chicago, IL","Chicago","IL","{Industrials}","2006-03-03",2006,1,,,"Merger/Acquisition",,,,100,1,"{10037-35}","{""Bank of America Merrill Lynch""}","{10037-35-None}","{NULL}","{}","{}"
"11498-95T","12827-98","Wave Sport","Greenville, SC","Greenville","SC","{Manufacturing}","1999-04-30",1999,1,,,"Buyout/LBO",,,,100,2,"{10027-45,12822-13}","{""American Capital (ACAS)"",""Confluence Outdoor""}","{10027-45-None,12822-13-None}","{NULL,NULL}","{10949-05F}","{""American Capital Equity I""}"
"86379-85T","40707-37","Wave Systems","Austin, TX","Austin","TX","{TMT}","2016-08-01",2016,5,,,"Buyout/LBO",,,,100,1,"{113119-30}","{""ESW Capital""}","{113119-30-None}","{NULL}","{}","{}"
"95788-45T","188108-11","Wave Systems (portfolio of patents)","New York, NY","NewYork","NY","{}","2017-10-13",2017,1,,,"Corporate Asset Purchase",,,,100,1,"{53307-01}","{""Quarterhill (TSE: QTRH)""}","{53307-01-None}","{NULL}","{}","{}"
"60349-78T","63226-72","Wave Technologies International (NAS: WAVT)","Carrollton, TX","Carrollton","TX","{TMT}","2000-04-21",2000,3,,,"Merger/Acquisition",,41.6,41.6,100,1,"{12744-73}","{""Thomson Reuters (TSE: TRI)""}","{12744-73-None}","{NULL}","{}","{}"
"173972-17T","463528-81","Wave Uranium Holding","Las Vegas, NV","LasVegas","NV","{}","2009-09-24",2009,2,,,"Merger/Acquisition",,,,100,1,"{42080-95}","{""FBC Holding (PINX: FBCD)""}","{""42080-95-Heather Carrington""}","{""Heather Carrington""}","{}","{}"
"176668-39T","470097-01","Wave Wireless (California)","San Jose, CA","SanJose","CA","{}","2009-01-01",2009,3,,,"Merger/Acquisition",,,,100,1,"{141713-92}","{""Mountain Secure Systems""}","{141713-92-None}","{NULL}","{}","{}"
"85788-19T","126942-67","Wave-Secure Data Group","Irvine, CA","Irvine","CA","{Cybersecurity,TMT}","2007-10-17",2007,1,,,"Merger/Acquisition",,,,100,1,"{51559-48}","{WAVE-TSG}","{""51559-48-Matt Vaezi""}","{""Matt Vaezi""}","{}","{}"
"61515-73T","48195-64","Wave2Wave Communications","Hackensack, NJ","Hackensack","NJ","{TMT}","2012-09-27",2012,3,,,"Merger/Acquisition",,,,100,1,"{63833-86}","{""M2nGage Telecommunications II""}","{63833-86-None}","{NULL}","{}","{}"
"23944-33T","53671-69","Wave7 Optics","Alpharetta, GA","Alpharetta","GA","{TMT}","2008-04-14",2008,9,,,"Merger/Acquisition",,10.5,10.5,100,,"{}","{}","{}","{}","{}","{}"
"104015-35T","156422-62","WaveBand","Torrance, CA","Torrance","CA","{Industrials,Manufacturing}","2004-05-01",2004,1,,,"Merger/Acquisition",,,,100,1,"{65534-32}","{""Sierra Nevada""}","{65534-32-None}","{NULL}","{}","{}"
"108560-35T","125286-31","WaveBend Solutions","Chicago, IL","Chicago","IL","{Industrials}","2001-07-09",2001,1,,,"Merger/Acquisition",,17.5,17.5,100,1,"{12699-82}","{""Hitachi Consulting""}","{12699-82-None}","{NULL}","{}","{}"
