"co_id","deal_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"41953-78","99371-44T","Mr. Cooper Group (NAS: COOP)","Dallas, TX","Dallas","TX","{}","2014-12-29",2014,7,,,"PIPE",,,600,,,"{10024-75,10066-15}","{""Citigroup (NYS: C)"",""Kohlberg Kravis Roberts (NYS: KKR)""}","{10024-75-None,""10066-15-Tagar Olson""}","{NULL,""Tagar Olson""}","{}","{}"
"404283-79","151558-39T","Ford L Banner","Mandeville, LA","Mandeville","LA","{}","2020-04-12",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"406663-21","150712-21T","Ford Lehighton","Lehighton, PA","Lehighton","PA","{}","2020-04-29",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"390930-31","144633-70T","Ford of Englewood","Englewood, NJ","Englewood","NJ","{}","2020-04-27",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"255762-19","145432-45T","Ford Of Montebello","Montebello, CA","Montebello","CA","{}","2020-04-13",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"268569-91","120514-87T","MRI-Simmons","New York, NY","NewYork","NY","{}","2019-02-12",2019,1,,,"Joint Venture",,,,,,"{13147-57,186811-03}","{GfK,SymphonyAI}","{""13147-57-Gregg Lindner"",186811-03-None}","{""Gregg Lindner"",NULL}","{}","{}"
"41057-83","62197-93T","MRO Software","Bedford, MA","Bedford","MA","{Industrials,TMT}","1994-04-21",1994,1,,,"IPO",,,,,,"{}","{}","{}","{}","{}","{}"
"467554-15","173901-43T","MRIMath","Vestavia, AL","Vestavia","AL","{HealthTech,""Life Sciences"",Oncology}","2021-02-25",2021,2,,,"Grant",,,0.43,,,"{126520-48,52158-25}","{""New Jersey Commission on Science and Technology"",""U.S. Department of Health and Human Services""}","{126520-48-None,52158-25-None}","{NULL,NULL}","{}","{}"
"467554-15","178848-91T","MRIMath","Vestavia, AL","Vestavia","AL","{HealthTech,""Life Sciences"",Oncology}","2021-05-01",2021,3,,,"Accelerator/Incubator",,,,,,"{52499-80}","{""National Institutes of Health""}","{52499-80-None}","{NULL}","{}","{}"
"467554-15","173901-25T","MRIMath","Vestavia, AL","Vestavia","AL","{HealthTech,""Life Sciences"",Oncology}","2018-01-01",2018,1,,,"Accelerator/Incubator",,,,,,"{150724-45}","{""National Science Foundation Innovation Corps Program""}","{150724-45-None}","{NULL}","{}","{}"
"402065-38","151555-06T","Mrk Aviation","Elyria, OH","Elyria","OH","{}","2020-04-16",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
